Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 139, Game Loss 0.2944049537181854, Mean Loss 326462016.0, Actions 41, Mean reward 3614.2801397959206, Final reward 2.0,  Reward 5818.23654491794, Record 15289.785347496849
Game 140, Game Loss 0.33948948979377747, Mean Loss 324130144.0, Actions 29, Mean reward 3619.829931187662, Final reward 3.5,  Reward 4391.250934639736, Record 15289.785347496849
Game 141, Game Loss 0.29668331146240234, Mean Loss 321831360.0, Actions 30, Mean reward 3619.240392000707, Final reward 1.5,  Reward 3536.704905826964, Record 15289.785347496849
Game 142, Game Loss 0.336342453956604, Mean Loss 319564928.0, Actions 30, Mean reward 3627.7768967870984, Final reward 4.5,  Reward 4831.42407166838, Record 15289.785347496849
Game 143, Game Loss 0.3021189868450165, Mean Loss 317330208.0, Actions 11, Mean reward 3608.99943174327, Final reward 1.5,  Reward 942.5993955196697, Record 15289.785347496849
Game 144, Game Loss 0.29207441210746765, Mean Loss 315126528.0, Actions 74, Mean reward 3648.80610977521, Final reward 3.5,  Reward 9341.161068342615, Record 15289.785347496849
Game 145, Game Loss 0.2847416400909424, Mean Loss 312953248.0, Actions 40, Mean reward 3644.9478270966783, Final reward 1.0,  Reward 3089.3551213880723, Record 15289.785347496849
Game 146, Game Loss 0.2726454436779022, Mean Loss 310809728.0, Actions 84, Mean reward 3703.204085627305, Final reward 3.5,  Reward 12150.361572568183, Record 15289.785347496849
Game 147, Game Loss 0.2852064073085785, Mean Loss 308695360.0, Actions 42, Mean reward 3704.1978587228155, Final reward 1.0,  Reward 3849.288730667371, Record 15289.785347496849
Game 148, Game Loss 0.2623803913593292, Mean Loss 306609600.0, Actions 27, Mean reward 3705.8730241688513, Final reward 2.5,  Reward 3952.1223447361126, Record 15289.785347496849
Game 149, Game Loss 0.2791157364845276, Mean Loss 304551808.0, Actions 99, Mean reward 3765.861570964055, Final reward 4.5,  Reward 12644.166496654207, Record 15289.785347496849
Game 150, Game Loss 0.2699882984161377, Mean Loss 302521472.0, Actions 19, Mean reward 3755.382427953336, Final reward 1.0,  Reward 2193.990119356234, Record 15289.785347496849
Game 151, Game Loss 0.277454674243927, Mean Loss 300518016.0, Actions 24, Mean reward 3755.8662044547377, Final reward 2.0,  Reward 3828.4326796650867, Record 15289.785347496849
Game 152, Game Loss 0.29118603467941284, Mean Loss 298540928.0, Actions 111, Mean reward 3803.8428765292674, Final reward 1.5,  Reward 11048.320359783196, Record 15289.785347496849
Game 153, Game Loss 0.27710920572280884, Mean Loss 296589664.0, Actions 46, Mean reward 3805.2630342701314, Final reward 0.5,  Reward 4021.127010881404, Record 15289.785347496849
