Game 237, Final reward 0, Action Counter 5, plot_mean_rewards-19.39240506329114,  Reward -9, Record 0
Game 238, Final reward 0, Action Counter 5, plot_mean_rewards-19.34873949579832,  Reward -9, Record 0
Game 239, Final reward 0, Action Counter 7, plot_mean_rewards-19.330543933054393,  Reward -15, Record 0
Game 240, Final reward 0, Action Counter 7, plot_mean_rewards-19.2625,  Reward -3, Record 0
Game 241, Final reward 0, Action Counter 8, plot_mean_rewards-19.25726141078838,  Reward -18, Record 0
Game 242, Final reward 0, Action Counter 6, plot_mean_rewards-19.214876033057852,  Reward -9, Record 0
Game 243, Final reward 0, Action Counter 10, plot_mean_rewards-19.17283950617284,  Reward -9, Record 0
Game 244, Final reward 0, Action Counter 14, plot_mean_rewards-19.18032786885246,  Reward -21, Record 0
Game 245, Final reward 0, Action Counter 7, plot_mean_rewards-19.1265306122449,  Reward -6, Record 0
Game 246, Final reward 0, Action Counter 7, plot_mean_rewards-19.109756097560975,  Reward -15, Record 0
Game 247, Final reward 0, Action Counter 12, plot_mean_rewards-19.09311740890688,  Reward -15, Record 0
Game 248, Final reward 0, Action Counter 5, plot_mean_rewards-19.052419354838708,  Reward -9, Record 0
Game 249, Final reward 0, Action Counter 8, plot_mean_rewards-19.02409638554217,  Reward -12, Record 0
Game 250, Final reward 0, Action Counter 11, plot_mean_rewards-19.02,  Reward -18, Record 0
Game 251, Final reward 0, Action Counter 7, plot_mean_rewards-18.9800796812749,  Reward -9, Record 0
Game 252, Final reward 0, Action Counter 6, plot_mean_rewards-18.94047619047619,  Reward -9, Record 0
Game 253, Final reward 0, Action Counter 5, plot_mean_rewards-18.91304347826087,  Reward -12, Record 0
Game 254, Final reward 0, Action Counter 6, plot_mean_rewards-18.874015748031496,  Reward -9, Record 0
Game 255, Final reward 0, Action Counter 8, plot_mean_rewards-18.88235294117647,  Reward -21, Record 0
Game 256, Final reward 0, Action Counter 7, plot_mean_rewards-18.80859375,  Reward 0, Record 0
Game 257, Final reward 0, Action Counter 36, plot_mean_rewards-18.863813229571985,  Reward -33, Record 0
Game 258, Final reward 0, Action Counter 26, plot_mean_rewards-18.941860465116278,  Reward -39, Record 0
Game 259, Final reward 0, Action Counter 8, plot_mean_rewards-18.92664092664093,  Reward -15, Record 0
Game 260, Final reward 0, Action Counter 14, plot_mean_rewards-18.923076923076923,  Reward -18, Record 0
Game 261, Final reward 0, Action Counter 9, plot_mean_rewards-18.896551724137932,  Reward -12, Record 0
Game 262, Final reward 0, Action Counter 9, plot_mean_rewards-18.88167938931298,  Reward -15, Record 0
Game 263, Final reward 0, Action Counter 5, plot_mean_rewards-18.844106463878326,  Reward -9, Record 0
Game 264, Final reward 0, Action Counter 7, plot_mean_rewards-18.818181818181817,  Reward -12, Record 0
Game 265, Final reward 0, Action Counter 12, plot_mean_rewards-18.815094339622643,  Reward -18, Record 0
Game 266, Final reward 0, Action Counter 9, plot_mean_rewards-18.80075187969925,  Reward -15, Record 0
Game 267, Final reward 0, Action Counter 11, plot_mean_rewards-18.786516853932586,  Reward -15, Record 0
Game 268, Final reward 0, Action Counter 7, plot_mean_rewards-18.761194029850746,  Reward -12, Record 0
Game 269, Final reward 0, Action Counter 14, plot_mean_rewards-18.79182156133829,  Reward -27, Record 0
Game 270, Final reward 0, Action Counter 61, plot_mean_rewards-19.08888888888889,  Reward -99, Record 0
Game 271, Final reward 0, Action Counter 8, plot_mean_rewards-19.062730627306273,  Reward -12, Record 0
Game 272, Final reward 0, Action Counter 6, plot_mean_rewards-19.03676470588235,  Reward -12, Record 0
Game 273, Final reward 0, Action Counter 7, plot_mean_rewards-19.01098901098901,  Reward -12, Record 0
Game 274, Final reward 0, Action Counter 5, plot_mean_rewards-18.974452554744527,  Reward -9, Record 0
Game 275, Final reward 0, Action Counter 10, plot_mean_rewards-18.992727272727272,  Reward -24, Record 0
Game 276, Final reward 0, Action Counter 37, plot_mean_rewards-19.08695652173913,  Reward -45, Record 0
Game 277, Final reward 0, Action Counter 7, plot_mean_rewards-19.050541516245488,  Reward -9, Record 0
Game 278, Final reward 0, Action Counter 18, plot_mean_rewards-19.07913669064748,  Reward -27, Record 0
Game 279, Final reward 0, Action Counter 5, plot_mean_rewards-19.021505376344088,  Reward -3, Record 0
Game 280, Final reward 0, Action Counter 13, plot_mean_rewards-19.039285714285715,  Reward -24, Record 0
Game 281, Final reward 0, Action Counter 27, plot_mean_rewards-19.07829181494662,  Reward -30, Record 0
Game 282, Final reward 0, Action Counter 15, plot_mean_rewards-19.074468085106382,  Reward -18, Record 0
Game 283, Final reward 0, Action Counter 15, plot_mean_rewards-19.01766784452297,  Reward -3, Record 0
